injector_w_id,producer_w_id,min_injection_hour,max_injection_hour,avg_injection_hour,stddev_injection_hour,min_injection_steam,max_injection_steam,avg_injection_steam,stddev_injection_steam,min_production_oil,max_production_oil,avg_production_oil,stddev_production_oil,min_sor,max_sor,avg_sor,stddev_sor
240,241,501,744,667.5833333,92.3623874,1052.6,9416.6,6172.922222,2910.485389,156.4,2740.5,1342.622222,742.1441622,2.816585535,8.778409621,5.168518958,2.031155567
242,243,146,744,655.9166667,173.308164,3230,20679,13475.0125,6256.043426,941.8,6325.6,3757.7,1875.646288,2.975861434,4.378424294,3.657544973,0.459479775
244,245,551,743,711.5833333,54.42168407,3635.4,24617.7,15826.44444,6953.346842,2814.2,10417.1,6577.144444,2290.793368,1.058155781,3.209325598,2.363089686,0.756838435
246,247,209,744,667.5,155.5561869,3419.4,23594.8,15120.15,6706.082542,910,8888.6,5550.925,2357.703178,0.976664477,5.467032967,2.976498577,1.221275734
248,249,94,744,666.862069,149.2157413,6082.9,30593.8,21346.39583,7814.020791,244.6,10783.5,6084.508333,2721.973607,1.538886266,24.86876533,4.781002827,4.499093663
250,251,345,744,694.9310345,92.15124642,1709.2,19247.1,14004.35,3991.082532,779.8,6317.3,3468.553846,1249.178986,1.106403556,12.46278317,4.639161533,2.469237571
252,253,272,744,693.25,98.64024609,9697.5,28081.7,20505.096,4924.326603,1419.4,8139.7,5182.936,1805.019425,2.302584317,10.05290968,4.351294248,1.538626786
254,255,295,744,690.7857143,95.87582909,8085,32034.8,21983.1375,4937.768872,406.4,8875.5,5629.904167,2072.006898,2.642544082,19.89419291,4.844949531,3.435604329
256,257,24,744,642.5925926,189.7127909,4821,28368.1,17082.34286,6684.379391,584.4,13127.6,5100.161905,2668.102333,1.434588196,9.112035958,4.042796923,1.7826944
258,259,262,744,705.1785714,90.53137519,6189.1,31871.5,24172.7625,5342.984001,703.7,11855.3,8330.245833,2917.835664,2.093024487,8.795083132,3.350279884,1.425145467
260,261,172,744,676.6206897,128.4713458,3913.4,32334.3,21371.468,9190.278374,267,9632.6,5868.648,2588.127517,1.951742515,14.65692884,4.445664291,2.850943977
262,263,271,744,690.4285714,114.4702544,3968.7,34227.2,24064.04348,7580.617196,4432.3,9746.6,6736.786957,1448.18651,0.604772717,6.962124427,3.821953231,1.666233828
264,265,206,744,689.5862069,115.2415219,2021.2,33677.3,20425.97308,8334.208378,1118,10877.9,5780.965385,3008.225628,1.276896835,14.59105546,4.313425859,2.811334775
266,267,288,744,679.4285714,116.1102377,7316.5,26699.7,18350.32174,4788.250369,2145,6100.4,3751.243478,884.2196828,3.057509309,8.914379241,4.999443,1.381597258
268,269,63,744,689.5172414,140.6732843,121.5,22061.4,13794.26538,5479.906763,38,4985.7,3038.311538,1334.17117,2.260165148,10.49909012,5.100414636,2.156527615
270,271,118,744,675.7241379,137.860928,271.4,16208,8629.023077,3869.110796,29.1,4302.6,2461.192308,1115.301094,2.045208996,19.93612965,4.593523534,3.562827949
272,273,252,743,696.8571429,94.74320626,2916.5,18554.4,10492.11304,4177.791283,616.8,6272.6,2864.213043,1694.36784,2.493426225,10.29685473,4.275342541,1.66410028
274,275,221,744,697.0357143,103.0089828,9089.9,18632.6,14051.55652,2593.49636,1008,3050.4,1938.752174,641.8724997,4.076881987,11.87794907,7.860398045,2.170166571
276,277,115,744,663.8695652,144.6432302,4620.2,38722.1,18721.81176,7879.63847,344.6,8425.6,3909.252941,2149.107987,2.226515588,14.68746373,5.863308588,3.076939433
278,279,432,744,694.9565217,88.07924028,3030.4,10958.3,7757.55,1866.879552,520.5,3553.1,2424.761111,908.9021677,1.697293992,11.56119116,3.903917718,2.225794051
280,281,95,744,619.8333333,220.3500658,9097.2,24258,17341.83333,4908.112567,1405.3,5953.9,3872.183333,1479.155844,4.074304238,6.473493204,4.762454793,0.816072716
282,283,96,744,608.3333333,239.7363451,5428.6,30221,21506.25,8592.543213,502.5,3778.8,2919.266667,1118.915365,4.490182068,10.80318408,7.902894092,1.924305995
284,285,431,744,699.7826087,75.05994969,5256.5,39556.7,20113.295,9611.770738,246.2,7199.9,4652.65,1910.171196,2.271918267,24.54264825,5.680700217,4.917088804
286,287,371,744,689.0434783,94.14953206,1720.7,41396.8,27835.98,11169.93792,124.3,10107.6,5791.08,2600.629763,2.694670662,54.1850362,7.493171563,10.91218257
288,289,262,744,688.3478261,107.6026397,2621.3,23080.9,17804.30526,4656.5383,41.3,8526.1,3349.015789,2325.540643,2.418047263,63.46973366,10.42294179,13.28449842
290,291,272,744,683.6086957,129.2146696,14706.2,28106,21909.45556,3804.19929,2738.3,6913.3,4606.222222,1186.002994,2.620961976,10.09104189,5.163275546,1.9439574
292,293,192,744,673.7391304,130.2173768,2887.9,10315.5,6493.825,2130.48497,23.9,586.7,275.4125,191.2582213,13.23025351,192.9183673,48.24574884,50.65549665
294,295,238,744,691,118.1470578,714.6,15080.2,9610.175,3772.679984,115.4,2879.6,1530.47,812.5942093,2.811326454,27.14511456,8.218727848,5.810907227
296,297,456,744,697.7391304,78.08166901,4258.6,15984.5,11508.82105,3104.530388,365.7,2633.5,1408.021053,575.1066706,4.409948737,23.2835475,9.272234589,3.988182026
298,299,168,744,682.1304348,146.255786,614.1,13432.4,8972.72,2922.340088,44.8,1971.6,1428.07,474.8971472,1.627617281,91.51339286,10.30567083,18.70674495
302,303,193,744,671.3333333,133.3465699,441.3,9169.6,6406.085185,2367.354255,6.6,2693.5,1213.425926,571.1423746,2.670243178,66.86363636,8.494329747,11.96669358
304,305,194,744,678.8518519,127.7430425,455.1,9011.9,5666.218519,2138.737132,13,1775.6,613.9592593,459.3485452,3.527258392,166.5833333,25.39043305,36.65815317
307,306,206,744,635.3333333,144.8983652,533.4,4459.7,2451.054167,1102.912858,1.3,1685.6,468.5458333,499.8251337,0.610227812,1095.615385,77.8684866,225.5132085
308,309,206,744,679.5555556,126.1569027,562.7,8592.8,6197.281481,2261.256159,18.7,1620.4,949.4222222,451.7233643,3.383967035,129.8481675,12.82834895,23.63348569
310,311,360,744,685.2592593,106.216612,625.3,7953.8,5863.340741,1988.389497,16.6,1956,938.4740741,413.0071752,1.373681898,147.1024096,11.81118492,26.65040924
312,313,360,744,679.962963,108.7189324,1019.6,9389.8,6768.72963,2379.299222,341,2267.4,1299.485185,517.374912,1.97443842,10.13489736,5.464271969,1.665117424
315,314,359,744,675.962963,110.4739724,998.9,8600.7,6031.8,2000.449814,131.6,1439.1,895.6037037,360.8541181,4.286984921,18.46504559,7.4480209,2.758431767
317,316,381,744,697,85.14399568,2596.6,7744.2,5998.048276,1473.601825,174.1,2344.1,925.9344828,376.299835,2.987628514,14.914417,7.106566587,2.385796383
