@relation CHOPSWellDataOriginal

@attribute CHOPS_UWI {100011404808W400,100012705103W400,100012805202W400,100020305203W400,100021604901W400,100021605103W400,100022304902W400,100022705103W400,100022705202W400,100023604806W400,100023605004W400,100031905006W400,100032705202W400,100033205206W400,100040905102W400,100041804901W400,100043405006W400,100043405202W400,100051204501W400,100051705103W400,100051804901W400,100052005003W400,100052605103W400,100053205003W400,100060204601W400,100060605102W400,100062704907W400,100062805202W400,100070305203W400,100071005103W400,100072205202W400,100073405202W400,100080205003W400,100081005103W400,100082705103W400,100082905205W400,100083305006W400,100090405102W400,100090504901W400,100092205103W400,100092904902W400,100093305002W400,100093605004W400,100101204501W400,100101805006W400,100102205202W400,100102805202W400,100103305002W400,100103305202W400,100111705103W400,100112105103W400,100112405007W400,100113105003W400,100113305002W400,100120405201W400,100122605103W400,100122705103W400,100122904902W400,100122904906W400,100132104906W400,100132305103W400,100132505004W400,100132605103W400,100140405102W400,100141205003W400,100142205103W400,100143305002W400,100143305202W400,100143405202W400,100150405102W400,100150605006W400,100151004901W400,100151204501W400,100151505202W400,100151605103W400,100152105103W400,100152405202W400,100162205103W400,100162205202W400,100162405202W400,100162505004W400,100163605003W400,100163605004W400,102022205202W400,102022404902W400,102022905003W400,102031605103W400,102050704807W400,102062405201W400,102071305007W400,102072805103W400,102082105103W400,102082805202W400,102083105003W400,102091705103W400,102092105103W400,102101705103W400,102111005103W400,102111705103W400,102111805006W400,102112405007W400,102113405202W400,102122904906W400,102131805006W400,102141204501W400,102141605103W400,102151305007W400,102152205103W400,102152805202W400,102160405102W400,102161305007W400,102162805202W400,102163605004W400,103032905003W400,103090405102W400,103092105103W400,103101305007W400,105061204808W400}
@attribute Object_ID numeric
@attribute PHIc numeric
@attribute PHIR numeric
@attribute Vshc numeric
@attribute Soc numeric
@attribute KRc numeric
@attribute H numeric
@attribute Pc numeric
@attribute Pp numeric
@attribute Pt numeric

@data
100103305002W400,88,20.560899,98.375143,2.699578,44.79764,157.383689,66,129.03,8.717549,21
100103305202W400,65,10.571519,73.317759,4.236718,27.600516,78.846863,37,981.45,12.680349,138
100111705103W400,73,13.932372,78.092529,2.532779,31.664916,101.681682,46,571.74,13.41112,96
100112105103W400,33,12.30565,39.675089,2.333592,24.945762,115.492262,43,44.58,6.870858,5
100112405007W400,113,10.559628,41.723146,1.669834,22.92669,58.301782,35,84.37,4.719104,3
100113105003W400,117,7.414454,40.967809,1.325036,18.16966,50.429633,27,0,2.602497,0
100113305002W400,41,18.796516,168.750505,6.171697,42.769194,141.67072,71,740.2,20.299607,77
100120405201W400,46,25.516665,291.177655,3.31954,65.603113,141.162546,81,254.7,14.255803,23
100122605103W400,61,14.015561,73.39946,3.690513,35.616241,121.799236,46,1054.22,20.217318,100
100122705103W400,12,15.10417,59.302674,3.277137,33.923992,171.235728,51,733.32,11.147596,97
100122904902W400,57,28.423683,154.334568,5.781393,66.767976,143.809251,99,629.63,15.91687,73
100122904906W400,118,13.131618,34.572847,4.00826,27.690496,84.134729,48,5.36,3.609314,0
100132104906W400,116,4.914549,41.201938,1.053199,9.66378,44.66488,16,19.48,4.384702,0
100132305103W400,42,18.344161,67.991778,3.624081,41.222686,116.967395,60,668.52,14.740356,71
100132505004W400,104,12.206998,43.106537,3.851169,28.906177,66.972451,47,31.75,5.424036,4
100132605103W400,10,9.83222,42.36502,3.309255,24.447323,77.862518,35,48.93,8.139721,8
100140405102W400,22,25.860872,204.172832,2.131409,56.241147,133.773762,78,888.54,30.189913,46
100141205003W400,9,24.652773,146.460567,4.316872,49.527476,167.556915,80,190.66,5.769422,38
100142205103W400,35,9.333035,104.085151,1.858205,23.159934,76.401168,32,474.65,10.903243,72
100143305002W400,89,19.268847,66.869824,3.176166,41.034164,153.643248,66,61.47,7.103898,8
100143305202W400,13,8.523903,86.844313,1.986096,22.203664,53.082183,27,0,1.453032,0
100143405202W400,108,10.675234,37.250847,3.39729,27.0283,66.904019,35,519.27,10.068884,62
100150405102W400,23,26.185376,222.409628,3.125657,63.11791,152.380697,83,724.52,35.15914,40
100150605006W400,15,9.700319,111.163125,2.236154,22.18242,52.423236,34,170.18,9.576012,25
100151004901W400,7,10.795872,61.601686,3.609029,31.93498,71.065031,42,122.75,6.064423,18
100151204501W400,3,12.059539,117.614622,3.24416,28.502662,65.898944,41,10.39,3.875793,0
100151505202W400,99,15.25649,97.792292,3.067405,35.207075,81.925504,49,1245.68,23.206966,75
